nom_club,methode,url_ios,url_android,url_web,telephone,notes
AMICALE HERAULT,app,https://apps.apple.com/fr/app/ah-le-moulin-de-lamicale/id6467210689,https://play.google.com/store/apps/details?id=fr.gestionsports.ahmoulinamicale,https://ah-moulin-amicale.gestion-sports.com,,App AH Moulin de l'Amicale
ASCH TENNIS & PADEL,web,,,https://www.aschtennis.fr/,,Reservation interne site
ASCH DOMAINE DAMARTIN,web,,,https://www.aschtennis.fr/,,Domaine Damartin Grabels
ASPTT MONTPELLIER,web,,,https://montpellier.asptt.com/padel/,,Section padel
BEZIERS INDOOR PADEL,app,https://apps.apple.com/fr/app/bip-b%C3%A9ziers-indoor-padel/id1588542680,https://play.google.com/store/apps/details?id=fr.gestionsports.bip,https://beziersindoorpadel.fr/,,App BIP
BEZIERS PADEL CLUB,app,https://apps.apple.com/fr/app/b%C3%A9ziers-padel-club/id1389562699,https://play.google.com/store/apps/details?id=fr.rainetcom.bezierspadel,https://www.bezierspadelclub.com/,,App Beziers Padel Club
CLERMONT PADEL CLUB,app,https://apps.apple.com/fr/app/clermont-padel-club/id6450679402,https://play.google.com/store/apps/details?id=fr.gestionsports.clermontpadelclub,https://www.clermontpadelclub.fr/,,App Clermont Padel Club
GM PADEL LUNEL VIEL,tel,,,,0434111650,Pas d'app dediee
LATTES PADEL ASSOCIATION,app,https://apps.apple.com/fr/app/lattes-padel-club/id6443685920,https://play.google.com/store/apps/details?id=fr.doinsport.lattespadelclub,https://www.lattes-padelclub.fr/,0685479326,Meme app que Lattes Padel Club - tournois Ten'Up
LATTES PADEL CLUB,app,https://apps.apple.com/fr/app/lattes-padel-club/id6443685920,https://play.google.com/store/apps/details?id=fr.doinsport.lattespadelclub,https://www.lattes-padelclub.fr/,,App Lattes Padel Club
LE TEMPLE DU SPORT,tel,,,,0467506077,Lunel - pas d'app dediee
MHSC PADEL,app,https://apps.apple.com/fr/app/mhsc-padel-tennis/id1492898716,https://play.google.com/store/apps/details?id=fr.doinsport.mhscpadel,https://mhsc-padeltennis.com/,,App MHSC Perols
MY CENTER LA GRANDE MOTTE,app,https://apps.apple.com/fr/app/playtomic-padel-tennis/id1095374719,https://play.google.com/store/apps/details?id=com.playtomic.web,https://mycenterpadel.fr/la-grande-motte/,,Reservation via Playtomic
PADEL CLUB CROCODIL'S,tel,,,,0467390560,Servian - pas d'app dediee
PADEL LES CABANES,app,https://apps.apple.com/fr/app/padel-les-cabanes/id6448420829,https://play.google.com/store/apps/details?id=fr.gestionsports.padellescabanes,,,App Padel Les Cabanes
SUD PADEL BEL AIR,app,https://apps.apple.com/fr/app/sud-padel/id6444032866,https://play.google.com/store/apps/details?id=fr.gestionsports.sudpadel,https://sud-padel.fr/,,App Sud Padel
SUD PADEL VAILHAUQUES,app,https://apps.apple.com/fr/app/sud-padel/id6444032866,https://play.google.com/store/apps/details?id=fr.gestionsports.sudpadel,https://sud-padel.fr/,,App Sud Padel
TENNIS PADEL CASTRIES,tel,,,,0467873510,Pas d'app dediee
URBAN PADEL,app,https://apps.apple.com/fr/app/myurban/id1550182639,https://play.google.com/store/apps/details?id=fr.urbansoccer.app,https://www.urbanpadel.fr/les-centres/montpellier/,,App MyUrban
URBAN PADEL CASTELNAU,app,https://apps.apple.com/fr/app/myurban/id1550182639,https://play.google.com/store/apps/details?id=fr.urbansoccer.app,https://www.urbanpadel.fr/les-centres/montpellier/,,App MyUrban
TC BAILLARGUES,tel,,,,0467871050,
TENNIS PADEL DE BAILLARGUES,tel,,,,0467871050,
ASCH MONTPELLIER,web,,,https://www.aschtennis.fr/,,Variante nom ASCH Tennis & Padel
SUD PADEL VAILHAUQUÈS,app,https://apps.apple.com/fr/app/sud-padel/id6444032866,https://play.google.com/store/apps/details?id=fr.gestionsports.sudpadel,https://sud-padel.fr/,,App Sud Padel
PADEL VIC,tel,,,,0670078687,Vic-la-Gardiole - pas d'app dediee
SETE PADEL CLUB,tel,,,,0624568938,Sete - pas d'app dediee
TC DE RESTINCLIERES BEAULIEU,tel,,,,,Restinclieres - pas d'info trouvee
MY CENTER PALAVAS,app,https://apps.apple.com/fr/app/playtomic-padel-tennis/id1095374719,https://play.google.com/store/apps/details?id=com.playtomic.web,http://tcpalavas.com/,,Reservation via Playtomic
TENNIS PADEL CLUB PALAVAS,app,https://apps.apple.com/fr/app/playtomic-padel-tennis/id1095374719,https://play.google.com/store/apps/details?id=com.playtomic.web,http://tcpalavas.com/,,Reservation via Playtomic
